nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania,missoes_previstas
Volts,"A Volts Engenharia é uma empresa especializada na área de engenharia elétrica, com foco em projetos, automação, obras e painéis elétricos. Já fornecemos mais de 400 painéis de baixa e média tensão para diversas regiões do Brasil, incluindo o Sudeste, Nordeste e Centro-Oeste, demonstrando nossa ampla cobertura geográfica e expertise em atender diversos mercados e segmentos industriais. Oferecemos soluções integradas aos nossos clientes, garantindo um serviço de qualidade, com as melhores práticas de mercado e conhecimentos atualizados.",Média e Grande Empresa,"Energia ou Sucroalcooleiro, Eletroeletrônica",,,Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
Morada Propriedades LTDA.,"Somos uma Proptech que atua com reciclagem imobiliária, transformando imóveis desocupados, deteriorados e/ou irregulares em residências habitáveis e devolvendo-os à sociedade. Dessa forma, provemos moradias de alta qualidade em regiões já dotadas de infraestrutura urbana, com muito menos impacto ambiental do que novas construções. Além de contribuir para a redução do déficit habitacional, nossa atuação fomenta a revitalização dos centros urbanos e a preservação do patrimônio cultural nas cidades onde atuamos.",Startup,"Cidades inteligentes, Construção, Imóveis","Big Data, AVMs","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
Mar Calmo Serviços Empresariais,Melhorar competitividade de PMEs através de ferramentas para gestão e administração do capital de giro,Startup,"Finanças, Gestão de negócios","Big Data, Deep Learning, Machine Learning, Inteligência Artificial","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
S4 Suprimentos,"A s4 é uma plataforma de compras 100% digital que conecta compradores aos fornecedores, gerando redução de custo nas operações.
Nosso objetivo é trazer eficiência e economia para as empresas, eliminando um trabalho complemente manual e improdutivo.

Mais do que automação. Entregamos soluções que ajudam os nossos clientes a tomarem as melhores decisões para os seus negócios, aumentando a produtividade e
gerando economia para as organizações focando em três pilares.

Eficiência. Reduzimos em até 92% o esforço da área de compras.
Economia. Reduzimos em média 8% o custo de compras.
Transparência. Tornamos o processo de compras digital e auditável.",Startup,"Agronegócio, Construção, Governo, Mineração, Saúde","Big Data, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Grão Direto,"A Grão Direto é uma empresa brasileira fundada em 2016 por Pedro, Alexandre e Frederico. A ideia de criar a empresa surgiu quando Pedro, um dos fundadores, enfrentou dificuldades para encontrar produtores de grãos em uma determinada região, durante uma tentativa de originar algumas sacas de milho para um cliente da revenda de sua família. Essa dificuldade ressaltou a ineficiência do mercado físico de grãos, que frequentemente limitava as opções de negócios para produtores rurais e compradores, principalmente aqueles que não estavam inseridos no círculo tradicional de negociações.

A partir dessa experiência, Pedro compartilhou seu incômodo com Alexandre e Frederico, e juntos criaram a primeira versão de um aplicativo que tinha como objetivo facilitar o contato e expandir as opções para produtores rurais e compradores de grãos. Surgia, assim, a Grão Direto, uma plataforma digital que conecta vendedores e compradores de grãos.

Em maio de 2018, a Grão Direto recebeu investimentos de diversos setores, incluindo indústria de insumos, produtores rurais, instituições financeiras e fundos de venture capital, como Canary, Leaps by Bayer e OpenVC.

Em 2021, a empresa atraiu um grupo diverso de investidores, que incluiu fundos e empresas como Lanx Capital, Bayer, Barn Investimentos e o braço de investimento do Grupo Rendimento, além de executivos como Luiz Edmond, Fued Sadala, Osvaldo Barbosa de Oliveira, William Kern, Roberto Martins, Mauro Muratório, Ricardo Coelho Duarte e representantes de grupos ligados à agricultura como Bernardo Klabin, Luxor Agro e Diego Schlatter.

Em 2022, a Amaggi, ADM, Cargill e Louis Dreyfus Company se tornaram sócias minoritárias da startup em rodada de R$ 40 milhões, visando agregar valor à plataforma e permitir seu crescimento e expansão.

Em fevereiro de 2023, a Grão Direto anuncia parceria com a Agrotools, com o objetivo de promover a sustentabilidade dos grãos comercializados em sua plataforma, reforçando seus critérios e políticas ESG, além de democratizar o conhecimento sobre a origem dos produtos negociados. A iniciativa visou ampliar os impactos positivos para toda a cadeia e reforçando os diversos benefícios da comercialização digital também em relação aos aspectos ambientais.",Startup,Agronegócio,"Big Data, Blockchain, Machine Learning, IA","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,1,0,0,0,0,0,M1 Agro
Integra IoT,"A Integra IoT é uma empresa especialista em Internet das Coisas (IoT).
Oferecemos uma ampla gama de serviços, desde a consultoria e planejamento até a implementação e gestão de projetos de IoT.
Nosso objetivo é ajudar as empresas a aproveitarem o poder da IoT para melhorar sua eficiência, produtividade e competitividade.
Estamos prontos para te ajudar a entrar na era da conectividade inteligente.",Startup,"Agronegócio, Cidades inteligentes, Energia, Gestão de negócios, Gestão de resíduos, Gestão de riscos, Governo, Indústria 4.0, Logística, Mineração, Mobilidade, Segurança, Sustentabilidade, Tecnologia da informação, Varejo, Vendas",IOT (Internet das Coisas),"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,0,1,0,0,"M1 Agro, M4 Transformacao Digital"
OUVIDOR DIGITAL SERVIÇOS DE INFORMÁTICA LTDA,"Somos especialistas em Canal de Denúncias e Sistema de Ouvidoria, além de pioneiros no uso de automação conversacional (Inteligência Artificial e chatbot).

Atendemos mais de 700 empresas de todos os portes e segmentos em mais de 14 países.

Nossas soluções aumentam a transparência com os stakeholders, reduzem desvios financeiros, previnem e detectam riscos de integridade e compliance, melhoram o clima organizacional e potencializam os pilares ESG nas empresas.",Startup,"Regulamentação e compliance, Tecnologia da informação",Machine Learning,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
SAGATECH LTDA,"Somos referência nacional em sistemas de automação e telemetria no saneamento. Estamos no mercado há mais de 10 anos e nosso lema é atuar sempre com qualdiade e segurança. Para isso contamos com uma equipe de profissionais qualificados e altamente treinados que buscam sempre por novas tecnologias. Nossos produtos e serviços são feitos especialmente pra quem busca comodidade, qualidade e segurança. Desenvolvidos pela mais alta tecnologia os produtos são destinados para condomínios e companhias de saneamento que buscam por esses diferenciais. A busca constante pelo novo, e pela alta tecnologia é o que nos move e por isso podemos dizer que somos referência nacional em Telemetria. ",Média e Grande Empresa,"Energia ou Sucroalcooleiro, Eletroeletrônica, Serviços e Comércio, Tecnologia da Informação e Comunicação (TIC)",,,Executores Diretos das Missões,0,1,0,0,1,0,"M2 Saude, M5 Bioeconomia Energia"
PHD SOLUCOES EM ENGENHARIA LTDA,"A PHD Engenharia é uma empresa inovadora que se destaca no mercado da construção civil por sua metodologia única e foco em excelência operacional. Utilizando ferramentas avançadas como o Last Planner System (LPS) e uma gestão intrínseca de dados, a abordagem da PHD visa fornecer informações precisas e estratégicas do campo de obras para a liderança, permitindo uma gestão mais eficiente e assertiva dos projetos. Com mais de 130 projetos concluídos e uma carteira de clientes que ultrapassa os 80, totalizando um portfólio de mais de 2.6 bilhões, os mais de 100 colaboradores estão comprometidos em garantir previsibilidade, eficiência e gestão de riscos para alcançar os resultados planejados. Possui compromisso com a inovação e excelência, possuindo como missão acelerar e otimizar a maneira como se comunica, gerencia e executa projetos. Possui como visão ser reconhecida nacionalmente como uma empresa parceira dos clientes, oferecendo excelência na gestão e planejamento de obras. Certificados pelo ""Great Place to Work"", busca impulsionar a tomada de decisões assertivas por meio do uso inteligente de dados, resultando em redução de custos e prazos em obras em todo o Brasil",Média e Grande Empresa,Construção Civil ou Setor Imobiliário,,,Executores Diretos das Missões,0,0,1,0,0,0,M3 Infra Mobilidade
ALL CONECT,"A ALL CONECT desenvolve sistemas personalizados para empresas, implantando softwares ERPs, treinamentos e suporte em informática",Startup,"Gestão de negócios, Governo, Tecnologia da informação",Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
ACORDOS BRASIL INOVA SIMPLES (I.S.),ACORDOS ONLINE COM INTELIGÊNCIA ARTIFICIAL ,Startup,"Cidades inteligentes, Direito, Governo",IOT (Internet das Coisas),"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Cervejaria Estrela do Balsamo,"A Cervejaria Estrela do Bálsamo se posiciona de forma única no mercado de cervejas artesanais, destacando-se por sua abordagem inovadora e seu compromisso com a valorização do cerrado mineiro, um bioma rico em biodiversidade, mas ainda pouco explorado no contexto da indústria de bebidas. Nossos diferenciais competitivos são fundamentados em diversos pilares estratégicos que ressaltam a singularidade de nossas cervejas e fortalecem nossa posição competitiva. Nossa equipe é composta por especialistas e pesquisadores renomados na área de bebidas, cuja experiência foi crucial para introduzir no mercado duas cervejas notáveis em 2023, que incorporam o café especial do cerrado mineiro, incluindo um produto distinto da Fazenda Naimeg. Esta expertise não só evidencia nossa capacidade técnica e inovadora, mas também nossa habilidade em selecionar e integrar ingredientes locais de alta qualidade nas cervejas que produzimos. A decisão de utilizar cafés especiais e frutos do cerrado em nossas cervejas artesanais representa uma inovação significativa, diferenciando nossos produtos no mercado. Esta escolha reflete não apenas uma busca por sabores únicos e experiências sensoriais enriquecidas, mas também um compromisso com a valorização e preservação da biodiversidade local. Além disso, a combinação de diferentes estilos de cerveja com a vasta gama de frutos do cerrado e cafés especiais do cerrado mineiro demonstra nossa versatilidade e criatividade no desenvolvimento de produtos. Nosso foco na utilização de produtos do cerrado transcende a inovação de produto, alinhando-se com práticas sustentáveis que beneficiam o meio ambiente e as comunidades locais. Ao priorizar ingredientes regionais, apoiamos a agricultura local e promovemos a economia do cerrado mineiro, incentivando práticas agrícolas responsáveis e contribuindo para um modelo de negócio ecologicamente sustentável e socialmente justo. Poucas cervejarias atualmente exploram o diferencial regional de seus produtos de maneira tão profunda quanto a Estrela do Bálsamo. Nossa abordagem não apenas nos distingue como inovadores na incorporação de sabores e ingredientes exclusivos da região, mas também estabelece nossas cervejas como embaixadoras do cerrado mineiro, criando uma conexão única entre o consumidor, a bebida e a origem de seus ingredientes. Por fim, a nossa estratégia de marketing não se limita a promover produtos, mas visa também educar o consumidor sobre a riqueza do cerrado mineiro e a importância da conservação ambiental. Ao fazer isso, criamos uma narrativa que enriquece a experiência de consumo e fomenta um apreço maior pelo valor intrínseco de nossas cervejas e seus ingredientes. Em conclusão, a Cervejaria Estrela do Bálsamo se diferencia no mercado de cervejas artesanais por sua capacidade de inovar com autenticidade, seu compromisso com a sustentabilidade e a valorização dos produtos locais, e sua habilidade em criar produtos que não só deliciam o paladar, mas também promovem a conscientização e apreciação do cerrado mineiro.",Startup,Alimentos,Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
